NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
40560,INQS 021,Flujo de Fluidos,OO1,A,1100-1359,ORTEGA - PEREZ JORGE,1FIQ1/302,11:00:00,13:59:00
40560,INQS 021,Flujo de Fluidos,OO1,J,1100-1359,ORTEGA - PEREZ JORGE,1FIQ1/302,11:00:00,13:59:00
40560,INQS 021,Flujo de Fluidos,OO1,V,1100-1359,ORTEGA - PEREZ JORGE,1FIQ1/302,11:00:00,13:59:00
40609,INQS 021,Flujo de Fluidos,OO2,J,0800-0959,LOPEZ - BADILLO MARIBEL,1FIQ1/305,8:00:00,9:59:00
40609,INQS 021,Flujo de Fluidos,OO2,V,0800-0959,LOPEZ - BADILLO MARIBEL,1FIQ1/305,8:00:00,9:59:00
40609,INQS 021,Flujo de Fluidos,OO2,L,0800-1059,LOPEZ - BADILLO MARIBEL,1FIQ1/305,8:00:00,10:59:00
40609,INQS 021,Flujo de Fluidos,OO2,A,0800-1059,LOPEZ - BADILLO MARIBEL,1FIQ1/305,8:00:00,10:59:00
40609,INQS 021,Flujo de Fluidos,OO2,M,0800-1059,LOPEZ - BADILLO MARIBEL,1FIQ1/305,8:00:00,10:59:00
40740,LIAS 259,Ingenieria Metalurgica,OO1,A,1000-1159,CORDOVA - PEREZ GERARDO ENRIQUE,1FIQ2/204,10:00:00,11:59:00
40740,LIAS 259,Ingenieria Metalurgica,OO1,J,1000-1159,CORDOVA - PEREZ GERARDO ENRIQUE,1FIQ2/204,10:00:00,11:59:00
40740,LIAS 259,Ingenieria Metalurgica,OO1,L,1000-1259,CORDOVA - PEREZ GERARDO ENRIQUE,1FIQ2/204,10:00:00,12:59:00
40740,LIAS 259,Ingenieria Metalurgica,OO1,M,1000-1259,CORDOVA - PEREZ GERARDO ENRIQUE,1FIQ2/204,10:00:00,12:59:00
40740,LIAS 259,Ingenieria Metalurgica,OO1,V,1000-1259,CORDOVA - PEREZ GERARDO ENRIQUE,1FIQ2/204,10:00:00,12:59:00
40741,ISML 200,Lab. de Materiales Ceramicos,OO1,V,1100-1159,OSNAYA - GAMBOA CAROLINA,1FIQ9/101,11:00:00,11:59:00
40741,ISML 200,Lab. de Materiales Ceramicos,OO1,L,1100-1259,OSNAYA - GAMBOA CAROLINA,1FIQ9/101,11:00:00,12:59:00
40741,ISML 200,Lab. de Materiales Ceramicos,OO1,A,1100-1259,OSNAYA - GAMBOA CAROLINA,1FIQ9/101,11:00:00,12:59:00
40741,ISML 200,Lab. de Materiales Ceramicos,OO1,M,1100-1259,OSNAYA - GAMBOA CAROLINA,1FIQ9/101,11:00:00,12:59:00
