NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
40904,IAMS 700,Cambio Climatico,OO1,L,1100-1159,VEGA - HERNANDEZ MIRIAM,1FIQ7/202,1100,1159,11:00,11:59
40904,IAMS 700,Cambio Climatico,OO1,A,1100-1159,VEGA - HERNANDEZ MIRIAM,1FIQ7/202,1100,1159,11:00,11:59
40904,IAMS 700,Cambio Climatico,OO1,M,1100-1159,VEGA - HERNANDEZ MIRIAM,1FIQ7/202,1100,1159,11:00,11:59
40904,IAMS 700,Cambio Climatico,OO1,J,1100-1159,VEGA - HERNANDEZ MIRIAM,1FIQ7/202,1100,1159,11:00,11:59
40904,IAMS 700,Cambio Climatico,OO1,V,1100-1159,VEGA - HERNANDEZ MIRIAM,1FIQ7/202,1100,1159,11:00,11:59
40784,INQS 028,Dibujo Tecnico,OO1,L,1200-1259,TORREBLANCA - RAMIREZ MAGIN IDELFONSO,1FIQ2/201,1200,1259,12:00,12:59
40784,INQS 028,Dibujo Tecnico,OO1,M,1200-1259,TORREBLANCA - RAMIREZ MAGIN IDELFONSO,1FIQ4/201,1200,1259,12:00,12:59
40784,INQS 028,Dibujo Tecnico,OO1,V,1200-1259,TORREBLANCA - RAMIREZ MAGIN IDELFONSO,1FIQ4/201,1200,1259,12:00,12:59
42970,INQS 028,Dibujo Tecnico,OO2,J,1300-1359,FLORES - OLMOS LUIS MISAEL,1FIQ2/202,1300,1359,13:00,13:59
42970,INQS 028,Dibujo Tecnico,OO2,A,1300-1359,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,1300,1359,13:00,13:59
42970,INQS 028,Dibujo Tecnico,OO2,V,1300-1359,FLORES - OLMOS LUIS MISAEL,1FIQ4/201,1300,1359,13:00,13:59
37400,INQS 018,Diseno Expe. y Analisis Datos,OO1,A,0900-0959,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,0900,0959,09:00,09:59
37400,INQS 018,Diseno Expe. y Analisis Datos,OO1,M,0900-0959,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,0900,0959,09:00,09:59
37400,INQS 018,Diseno Expe. y Analisis Datos,OO1,J,0900-0959,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,0900,0959,09:00,09:59
37400,INQS 018,Diseno Expe. y Analisis Datos,OO1,V,0900-0959,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,0900,0959,09:00,09:59
37402,INQS 018,Diseno Expe. y Analisis Datos,OO2,L,1600-1659,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1600,1659,16:00,16:59
37402,INQS 018,Diseno Expe. y Analisis Datos,OO2,A,1600-1659,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1600,1659,16:00,16:59
37402,INQS 018,Diseno Expe. y Analisis Datos,OO2,M,1600-1659,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1600,1659,16:00,16:59
37402,INQS 018,Diseno Expe. y Analisis Datos,OO2,J,1600-1659,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1600,1659,16:00,16:59
37403,INQS 018,Diseno Expe. y Analisis Datos,OO3,L,0800-0859,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/306,0800,0859,08:00,08:59
37403,INQS 018,Diseno Expe. y Analisis Datos,OO3,A,0800-0859,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/306,0800,0859,08:00,08:59
37403,INQS 018,Diseno Expe. y Analisis Datos,OO3,M,0800-0859,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201,0800,0859,08:00,08:59
37403,INQS 018,Diseno Expe. y Analisis Datos,OO3,J,0800-0859,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201,0800,0859,08:00,08:59
